r_km,z_m,J
46.0,172.5,1.9780300508642767e-08
46.25,172.5,2.1109266112873115e-08
46.5,172.5,2.2600499582914324e-08
46.75,172.5,2.4230509376721443e-08
47.0,172.5,2.601281012815093e-08
47.25,172.5,2.8010910924081145e-08
47.5,172.5,3.0294354913529276e-08
47.75,172.5,3.28845608521533e-08
48.0,172.5,3.5751248295134985e-08
48.25,172.5,3.887137922653494e-08
48.5,172.5,4.229177175130161e-08
48.75,172.5,4.611306203550214e-08
49.0,172.5,5.039503903070397e-08
49.25,172.5,5.508122891129119e-08
49.5,172.5,6.003295716094925e-08
49.75,172.5,6.515512662730316e-08
50.0,172.5,7.04700446885198e-08
50.25,172.5,7.601095242115719e-08
50.5,172.5,8.161075948365237e-08
50.75,172.5,8.681808683075332e-08
51.0,172.5,9.109203347179573e-08
51.25,172.5,9.415391488687419e-08
51.5,172.5,9.614433527094235e-08
51.75,172.5,9.738940942582985e-08
52.0,172.5,9.801389566632679e-08
52.25,172.5,9.779707998980314e-08
52.5,172.5,9.6403860005978e-08
52.75,172.5,9.37528669142651e-08
53.0,172.5,9.014936019902109e-08
53.25,172.5,8.60762141563498e-08
53.5,172.5,8.189451394802205e-08
53.75,172.5,7.772939747408003e-08
54.0,172.5,7.357529330231927e-08
54.25,172.5,6.945735342434034e-08
54.5,172.5,6.548328479460963e-08
54.75,172.5,6.177172284793642e-08
55.0,172.5,5.8368083699633644e-08
55.25,172.5,5.5237495577564744e-08
55.5,172.5,5.232578426106471e-08
55.75,172.5,4.9616414643516293e-08
56.0,172.5,4.713041568127352e-08
56.25,172.5,4.488458560381048e-08
56.5,172.5,4.286091681571236e-08
56.75,172.5,4.1016206209221195e-08
57.0,172.5,3.931524372724482e-08
57.25,172.5,3.775042933806816e-08
57.5,172.5,3.6330434771691955e-08
57.75,172.5,3.5055211178303125e-08
58.0,172.5,3.39051300368709e-08
58.25,172.5,3.285278915576839e-08
58.5,172.5,3.1882084972068014e-08
58.75,172.5,3.0993884791996607e-08
59.0,172.5,3.019426930706004e-08
59.25,172.5,2.947994581781188e-08
59.5,172.5,2.8836049992264634e-08
59.75,172.5,2.8246828875921892e-08
60.0,172.5,2.770659701667455e-08
45.0,175.0,1.591707821102517e-08
45.25,175.0,1.677330696558954e-08
45.5,175.0,1.770914892507136e-08
45.75,175.0,1.8769319876099644e-08
46.0,175.0,1.999281462605751e-08
46.25,175.0,2.1382776549394578e-08
46.5,175.0,2.2916327058197794e-08
46.75,175.0,2.4588491243093813e-08
47.0,175.0,2.6443712997092916e-08
47.25,175.0,2.8553262199082496e-08
47.5,175.0,3.095966327748556e-08
47.75,175.0,3.364986633780376e-08
48.0,175.0,3.659154879098736e-08
48.25,175.0,3.980128848724007e-08
48.5,175.0,4.3363454826916836e-08
48.75,175.0,4.736065273291956e-08
49.0,175.0,5.178220718882187e-08
49.25,175.0,5.6513426605064865e-08
49.5,175.0,6.143391328983228e-08
49.75,175.0,6.652445705412902e-08
50.0,175.0,7.183048245096302e-08
50.25,175.0,7.727494066855911e-08
50.5,175.0,8.251134353542966e-08
50.75,175.0,8.701555065382394e-08
