r_km,z_m,J_amp,J_coh
59.25,152.5,0.12371883443654619,0.9158923642873066
59.5,152.5,0.1292231549636753,0.7652929996771461
59.75,152.5,0.13468888597630624,0.8836373047620444
60.0,152.5,0.14009694281676144,0.9070330750023389
45.0,155.0,0.13450698848454257,0.9801832816692136
45.25,155.0,0.1285843172328569,0.23087117492003106
45.5,155.0,0.12258426339821449,0.9386082977148948
45.75,155.0,0.11651242775075354,0.9320419493764514
46.0,155.0,0.11035969885032926,0.894573572577594
46.25,155.0,0.10412610509134657,0.9501989962857041
46.5,155.0,0.09784047859403644,0.9686093016628651
46.75,155.0,0.0915592234842263,0.912823770371653
47.0,155.0,0.08534678115748806,0.947478066566098
47.25,155.0,0.07925585255719148,0.510545275568423
47.5,155.0,0.07331830658012373,0.900141951641289
47.75,155.0,0.06754695435461477,0.9168452590754201
48.0,155.0,0.061945917708877474,0.5433715299276609
48.25,155.0,0.056525691461367544,0.9554468358029545
48.5,155.0,0.051313706516652124,0.9178027002158106
48.75,155.0,0.046351762447378486,0.8653947629009238
49.0,155.0,0.04168339070591365,0.9197130049324382
49.25,155.0,0.037341892895955464,0.9448663724049018
49.5,155.0,0.03334525845278691,0.8700484202392815
49.75,155.0,0.02969799845514154,0.928726835903702
50.0,155.0,0.026398079710179045,0.05467431818629276
50.25,155.0,0.023445948439642872,0.9466308175791835
50.5,155.0,0.02085040885197298,0.8945425841538082
50.75,155.0,0.018627400666849203,0.9055075376559905
51.0,155.0,0.01679370654607626,0.9056917686582087
51.25,155.0,0.01536094290579304,0.8215099584928802
51.5,155.0,0.014332876602963562,0.8466817105850603
51.75,155.0,0.013706140386801846,0.951491473149637
52.0,155.0,0.013473361367598358,0.5904948000229331
52.25,155.0,0.013627096448556197,0.9114069551212947
52.5,155.0,0.014162242077830345,0.8904132735565327
52.75,155.0,0.015075443647264208,0.5415727244226973
53.0,155.0,0.01636249242053378,0.9081986030761152
53.25,155.0,0.01801590672113873,0.8633453737399501
53.5,155.0,0.020024016327277683,0.8225348820345428
53.75,155.0,0.02237176176922162,0.9555376061308819
54.0,155.0,0.025042833268058895,0.7626188365809476
54.25,155.0,0.02802207522404565,0.8621072722858146
54.5,155.0,0.031296492850033775,0.8981597467431861
54.75,155.0,0.034853985090568695,0.31618459129999155
55.0,155.0,0.038680773066213314,0.9240566786742462
