f_hz,mode_id,class,k_r,k2,kr_max_allowed,phi_180,phi_190,phi_200,phi_210,phi_220,A_norm_zs200,effective_0p1,effective_0p2,residual,n_z
201.0,10,NUMERICAL_EIGENPAIR+PROPAGATING_MODE,0.8405730622104899,0.7065630729139202,0.8419468311620646,4.2127440892708534e-15,-1.3842067384154191e-15,4.417068286964122e-15,-1.66950421806397e-15,-8.839373169405182e-15,7.921184481001802e-27,False,False,1.6634799232319437e-14,4001
201.0,11,NUMERICAL_EIGENPAIR+PROPAGATING_MODE,0.8404435646630127,0.7063453853834716,0.8419468311620646,7.707492753910325e-15,1.0622918800123822e-14,1.1524582962514374e-14,1.2529815346584029e-14,2.4973905685695166e-14,5.392278796214499e-26,False,False,1.796878506509793e-14,4001
201.0,12,NUMERICAL_EIGENPAIR+PROPAGATING_MODE,0.8403142955983768,0.7061281153869962,0.8419468311620646,4.43268109940045e-15,4.266855564805675e-18,1.2861660341480433e-15,3.2800482499642252e-15,2.525435446580363e-14,6.71608174746524e-28,False,False,1.740045430164559e-14,4001
201.0,13,NUMERICAL_EIGENPAIR+PROPAGATING_MODE,0.8401852540594563,0.7059112611389531,0.8419468311620646,-7.856832699061815e-15,-7.389418065498292e-16,-1.462862341997664e-14,-5.0660376252581837e-14,-1.2118412889882308e-13,8.688180228980944e-26,False,False,1.7908702754772455e-14,4001
201.0,14,NUMERICAL_EIGENPAIR+PROPAGATING_MODE,0.8400564390924617,0.7056948208607069,0.8419468311620646,2.7353841357143495e-14,5.115901651102127e-14,1.1208370174737007e-13,2.506672918927568e-13,5.335545799789796e-13,5.1004304835368736e-24,False,False,1.866218341023952e-14,4001
201.0,15,NUMERICAL_EIGENPAIR+PROPAGATING_MODE,0.839927849746947,0.70547879278053,0.8419468311620646,-9.374766570191074e-14,-2.3032597918765187e-13,-5.086332948049236e-13,-1.0980910892167597e-12,-2.333668410904014e-12,1.0503437896166609e-22,False,False,1.913007962994436e-14,4001
201.0,16,NUMERICAL_EIGENPAIR+PROPAGATING_MODE,0.8397994850758274,0.7052631751336247,0.8419468311620646,4.930946553375744e-13,1.0780185399257262e-12,2.2875198707701367e-12,4.806849471267395e-12,9.991311975989705e-12,2.1244751314047006e-21,False,False,1.9256940128317917e-14,4001
201.0,17,NUMERICAL_EIGENPAIR+PROPAGATING_MODE,0.8396713441353789,0.7050479661621138,0.8419468311620646,-2.197933140803459e-12,-4.612439845864503e-12,-9.609182863805029e-12,-1.9824277838393168e-11,-4.0576951883296017e-11,3.748821978070203e-20,False,False,1.8067769262438388e-14,4001
201.0,18,NUMERICAL_EIGENPAIR+PROPAGATING_MODE,0.8395434259852798,0.704833164115101,0.8419468311620646,-9.005671732050028e-12,-1.8673333694029317e-11,-3.833514877597023e-11,-7.800267324409264e-11,-1.5734996805584042e-10,5.966452771455632e-19,False,False,1.7650747783522438e-14,4001
201.0,19,NUMERICAL_EIGENPAIR+PROPAGATING_MODE,0.8394157296886027,0.7046187672486494,0.8419468311620646,-3.5493616813341524e-11,-7.244941443547582e-11,-1.4656063393602078e-10,-2.9383109575932024e-10,-5.836880344773628e-10,8.720804902516356e-18,False,False,1.87832932908499e-14,4001
201.0,20,NUMERICAL_EIGENPAIR+PROPAGATING_MODE,0.8392882543118239,0.7044047738257887,0.8419468311620646,-1.3395682016207218e-10,-2.694232654637744e-10,-5.368935265457845e-10,-1.0599777623827933e-09,-2.073063233594387e-09,1.1703027790260174e-16,False,False,1.8557769926874663e-14,4001
201.0,21,NUMERICAL_EIGENPAIR+PROPAGATING_MODE,0.8391609989248532,0.7041911821165574,0.8419468311620646,4.852568532022377e-10,9.611609297533124e-10,1.885905949059903e-09,3.665232452235569e-09,7.055053428578424e-09,1.4439826069087949e-15,False,False,1.7459048459554164e-14,4001
201.0,22,NUMERICAL_EIGENPAIR+PROPAGATING_MODE,0.8390339626010356,0.703977990397996,0.8419468311620646,1.6877401833461147e-09,3.2911143022873644e-09,6.35607632183246e-09,1.215628537216125e-08,2.3021259489976328e-08,1.6402124648161467e-14,False,False,1.728948601532206e-14,4001
201.0,23,NUMERICAL_EIGENPAIR+PROPAGATING_MODE,0.8389071444171579,0.7037651969541501,0.8419468311620646,5.638971256617575e-09,1.0822124113053114e-08,2.0565380557919957e-08,3.869206455483683e-08,7.206322694507165e-08,1.7170992637420404e-13,False,False,1.7924945509826607e-14,4001
201.0,24,NUMERICAL_EIGENPAIR+PROPAGATING_MODE,0.8387805434534701,0.7035528000760987,0.8419468311620646,1.8107934317215527e-08,3.4190620720121276e-08,6.390700582387145e-08,1.1823259450796286e-07,2.1647842049440297e-07,1.6581310119395378e-12,False,False,1.7543167698009083e-14,4001
201.0,25,NUMERICAL_EIGENPAIR+PROPAGATING_MODE,0.8386541587936887,0.7033407980619495,0.8419468311620646,5.5908399761106184e-08,1.0381828258990466e-07,1.9079085525266988e-07,3.46949855096507e-07,6.242189568748977e-07,1.4778726456503542e-11,False,False,1.766656485646401e-14,4001
201.0,26,NUMERICAL_EIGENPAIR+PROPAGATING_MODE,0.8385279895250047,0.7031291892168464,0.8419468311620646,1.6601006620460967e-07,3.03047342986096e-07,5.473280547491732e-07,9.778642555273894e-07,1.7279539854988523e-06,1.2162345050826578e-10,False,False,1.8870252637663752e-14,4001
201.0,27,NUMERICAL_EIGENPAIR+PROPAGATING_MODE,0.8384020347381056,0.7029179718529955,0.8419468311620646,4.741390116793371e-07,8.504853481364971e-07,1.5088735539039205e-06,2.6472151566979862e-06,4.591954764647711e-06,9.243311617032322e-10,False,False,1.8618513639910048e-14,4001
201.0,28,NUMERICAL_EIGENPAIR+PROPAGATING_MODE,0.8382762935271707,0.7027071442896513,0.8419468311620646,1.3025964062394735e-06,2.2948013470585265e-06,3.9972085745146805e-06,6.882758055539671e-06,1.1713184942581885e-05,6.4868748884291026e-09,False,False,1.6935296442107826e-14,4001
201.0,29,NUMERICAL_EIGENPAIR+PROPAGATING_MODE,0.8381507649898858,0.7024967048531309,0.8419468311620646,-3.442069815563581e-06,-5.952489752552968e-06,-1.0174002366753187e-05,-1.718333009021769e-05,-2.867132080667211e-05,4.202479172598728e-08,False,False,1.7622041085132465e-14,4001
201.0,30,NUMERICAL_EIGENPAIR+PROPAGATING_MODE,0.8380254482274502,0.7022866518768187,0.8419468311620646,-8.747012728202104e-06,-1.483986250683256e-05,-2.4873431083970316e-05,-4.1178861053909866e-05,-6.731876881951952e-05,2.5118476487697575e-07,False,False,1.7887071224194702e-14,4001
