cluster_id,n_modes,k_min,k_max,k_center,k_span,k_span_over_dkr,E_C,E_C_norm,f_hz,alpha,grid
10,4,1.150737705740898,1.1514680211028188,1.151103186619233,0.000730315361920697,0.27895991967750117,1.7588252683930694e-06,0.02092485508408479,283.0,0.5,4001
11,5,1.1538600141056106,1.1547982978698381,1.1543298238837973,0.0009382837642275543,0.35839799783924586,2.1550164148855684e-06,0.025638366127468445,283.0,0.5,4001
12,5,1.1568699746219802,1.1577728982592945,1.1573221293329385,0.0009029236373143679,0.3448914242714289,2.2680785228403064e-06,0.026983473152577046,283.0,0.5,4001
13,4,1.1597634682452924,1.1604141491698614,1.1600891697807627,0.0006506809245689915,0.24854180524982328,2.080049792022567e-06,0.02474648348981181,283.0,0.5,4001
14,5,1.1623266836490043,1.1631572751460626,1.1627427377765374,0.0008305914970583306,0.31726258187263384,2.522955674481832e-06,0.0300157626916146,283.0,0.5,4001
15,4,1.164781510406212,1.1653775970496874,1.1650799539069259,0.0005960866434753243,0.22768832596836996,2.374461263765965e-06,0.028249115327112637,283.0,0.5,4001
16,4,1.1669313400434334,1.1675001997137275,1.1672161958892262,0.0005688596702941862,0.21728838828706934,2.5452578596103433e-06,0.030281093193887235,283.0,0.5,4001
17,4,1.1687971528140868,1.1693395640341728,1.169068815526596,0.0005424112200860254,0.20718582447647255,2.7550063228202686e-06,0.032776483882006636,283.0,0.5,4001
18,4,1.1705724218071658,1.171086182942891,1.1708298029541035,0.0005137611357250993,0.19624229836597368,2.9413879086238932e-06,0.034993877356712604,283.0,0.5,4001
19,5,1.1719219361658433,1.172571140555705,1.172247650542399,0.0006492043898618238,0.2479778105363213,3.4256158922243154e-06,0.04075476820049424,283.0,0.5,4001
20,5,1.1733566636649766,1.1745461716182932,1.1738955336016452,0.0011895079533166264,0.454358569481915,5.433830720037417e-06,0.06464662659305191,283.0,0.5,4001
21,5,1.1746882615342633,1.1758854752896886,1.1753378966238868,0.0011972137554252527,0.457301969072497,5.0512294189864425e-06,0.06009479479751009,283.0,0.5,4001
22,7,1.1760094546098583,1.177230292109161,1.1766199829464916,0.001220837499302796,0.466325574542372,1.2194845001293565e-05,0.14508283967177804,283.0,0.5,4001
23,6,1.1773527657617726,1.1779671926322601,1.1776597496466095,0.0006144268704875167,0.23469377665577296,2.5151764057098986e-05,0.29923212240675506,283.0,0.5,4001
0,2,1.104690937490789,1.1050266647068767,1.1048588010988327,0.0003357272160877667,0.1282383503300375,6.287926282156461e-07,0.00748078553327489,283.0,1.0,4001
