f_hz,L_m,dr_name,status,recovered_k,pred_k,peak_err
283.0,2400.0,lam/4,OK,1.0420766337402767,1.0421609398207283,8.43060804516238e-05
283.0,2400.0,lam/4,OK,1.049931482738319,1.049862492718698,6.899001962112905e-05
283.0,2400.0,lam/4,OK,1.0577863317363616,1.0577870027459892,6.710096276396627e-07
283.0,2400.0,lam/4,OK,1.0630228977350562,1.0629767560426955,4.614169236072385e-05
283.0,2400.0,lam/4,OK,1.0708777467330985,1.070979506282764,0.00010175954966551437
283.0,2400.0,lam/4,OK,1.0787325957311407,1.0787932108772735,6.061514613286967e-05
283.0,2400.0,lam/2,OK,0.8592712971692639,0.8593598045418915,8.850737262766639e-05
283.0,2400.0,lam/2,OK,0.8723699449919662,0.8725479824282864,0.00017803743632016644
283.0,2400.0,lam/2,OK,0.8854685928146683,0.8855052074731979,3.661465852966561e-05
283.0,2400.0,lam/2,OK,0.8959475110728301,0.8957063441983744,0.00024116687445574492
283.0,2400.0,lam/2,OK,0.9090461588955322,0.90924772427615,0.00020156538061777418
283.0,2400.0,lam/2,OK,0.9195250771536939,0.9195983183831393,7.324122944540878e-05
283.0,2400.0,lam/2,OK,0.9300039954118557,0.9297908922989438,0.00021310311291189432
283.0,2400.0,lam/2,OK,0.9404829136700175,0.9402999924692416,0.00018292120077589846
338.0,600.0,lam/8,OK,0.6915340010240504,0.6914470522426339,8.694878141646267e-05
338.0,600.0,lam/8,OK,0.7124895768126579,0.7125945646447279,0.00010498783207002482
338.0,600.0,lam/8,OK,0.7439229404955693,0.7436232000649765,0.00029974043059277644
338.0,600.0,lam/8,OK,0.7753563041784807,0.77511769881644,0.00023860536204067806
338.0,600.0,lam/8,OK,0.7963118799670883,0.7960803208590882,0.00023155910800010115
338.0,600.0,lam/8,OK,0.8382230315443034,0.8381509680287964,7.206351550703705e-05
338.0,600.0,lam/8,OK,0.8696563952272148,0.8696572986149768,9.033877619302189e-07
