pair_id,mechanism,z_true,n_lines,frequencies,J_true_star,J_alt_star,delta_J,delta_J_gt_0,delta_J_gt_0p5,static_blind
B10,B,200.0,2,201;235,0.0,1.5741053138006038,1.5741053138006038,True,True,False
B10,B,200.0,2,201;283,0.0,1.4816952080805372,1.4816952080805372,True,True,False
B10,B,200.0,2,201;338,0.0,1.7051979981381782,1.7051979981381782,True,True,False
B10,B,200.0,2,235;283,0.0,1.502933204526936,1.502933204526936,True,True,False
B10,B,200.0,2,235;338,0.0,1.8559608524795927,1.8559608524795927,True,True,False
B10,B,200.0,2,283;338,0.0,1.8242001494921483,1.8242001494921483,True,True,False
B10,B,200.0,3,201;235;283,0.0,1.5820880348020376,1.5820880348020376,True,True,False
B10,B,200.0,3,201;235;338,0.0,1.7625503462119296,1.7625503462119296,True,True,False
B10,B,200.0,3,201;283;338,0.0,1.8042970120663269,1.8042970120663269,True,True,False
B10,B,200.0,3,235;283;338,0.0,1.8453724370057025,1.8453724370057025,True,True,False
B10,B,200.0,4,201;235;283;338,0.0,1.8171123733022956,1.8171123733022956,True,True,False
B10,B,220.0,1,201,0.0,1.1151644895321022,1.1151644895321022,True,True,False
B10,B,220.0,1,235,0.0,1.0007616519597806,1.0007616519597806,True,True,False
B10,B,220.0,1,283,0.0,1.0573824173631625,1.0573824173631625,True,True,False
B10,B,220.0,1,338,0.0,1.729094801025644,1.729094801025644,True,True,False
B10,B,220.0,2,201;235,0.0,1.4458912450419976,1.4458912450419976,True,True,False
B10,B,220.0,2,201;283,0.0,1.4441574303648883,1.4441574303648883,True,True,False
B10,B,220.0,2,201;338,0.0,1.7576356219501954,1.7576356219501954,True,True,False
B10,B,220.0,2,235;283,0.0,1.3623778709528036,1.3623778709528036,True,True,False
B10,B,220.0,2,235;338,0.0,1.412673478721672,1.412673478721672,True,True,False
B10,B,220.0,2,283;338,0.0,1.5981157433030013,1.5981157433030013,True,True,False
B10,B,220.0,3,201;235;283,0.0,1.771196486116485,1.771196486116485,True,True,False
B10,B,220.0,3,201;235;338,0.0,1.6322467901459317,1.6322467901459317,True,True,False
B10,B,220.0,3,201;283;338,0.0,1.6493505437791038,1.6493505437791038,True,True,False
B10,B,220.0,3,235;283;338,0.0,1.4946477575511117,1.4946477575511117,True,True,False
B10,B,220.0,4,201;235;283;338,0.0,1.8181650601733776,1.8181650601733776,True,True,False
C01,C,180.0,1,201,0.0,1.111073658916763,1.111073658916763,True,True,False
C01,C,180.0,1,235,0.0,0.8555957267258559,0.8555957267258559,True,True,False
C01,C,180.0,1,283,0.0,1.2170651733488127,1.2170651733488127,True,True,False
C01,C,180.0,1,338,0.0,1.261653481626117,1.261653481626117,True,True,False
C01,C,180.0,2,201;235,0.0,1.1204685360377271,1.1204685360377271,True,True,False
C01,C,180.0,2,201;283,0.0,1.3602621570517655,1.3602621570517655,True,True,False
C01,C,180.0,2,201;338,0.0,1.3648815543783523,1.3648815543783523,True,True,False
C01,C,180.0,2,235;283,0.0,1.3204219247199458,1.3204219247199458,True,True,False
C01,C,180.0,2,235;338,0.0,1.1573659597652273,1.1573659597652273,True,True,False
C01,C,180.0,2,283;338,0.0,1.2395598299150143,1.2395598299150143,True,True,False
C01,C,180.0,3,201;235;283,0.0,1.3248752836238036,1.3248752836238036,True,True,False
C01,C,180.0,3,201;235;338,0.0,1.218995127493144,1.218995127493144,True,True,False
C01,C,180.0,3,201;283;338,0.0,1.4123736525653883,1.4123736525653883,True,True,False
C01,C,180.0,3,235;283;338,0.0,1.3458548709051406,1.3458548709051406,True,True,False
C01,C,180.0,4,201;235;283;338,0.0,1.342835752570543,1.342835752570543,True,True,False
C01,C,200.0,1,201,0.0,1.1507598384789814,1.1507598384789814,True,True,False
C01,C,200.0,1,235,0.0,0.548303388582423,0.548303388582423,True,True,False
C01,C,200.0,1,283,0.0,1.158035737307489,1.158035737307489,True,True,False
C01,C,200.0,1,338,0.0,1.2283102317771575,1.2283102317771575,True,True,False
