aperture_tag,aperture_m,note,f_hz,theta_rel_deg,phi1_deg,phi2_deg,delta_u,steering_corr,bartlett_dual_peak,crb_sigma_u,L_required_lambda_over_du_m,resolved_corr_lt_0p95,resolved_sigma_u_lt_du,is_pm_mirror
L14m,14.0,理论基准孔径（非装备需求）,300.0,0.0,2.0,20.0,0.059698206233187334,0.941924752068404,False,0.0069615785824435365,83.75461032228482,True,True,False
L14m,14.0,理论基准孔径（非装备需求）,300.0,0.0,5.0,10.0,0.011386945079537525,0.9978514310697884,False,0.0069615785824435365,439.09933393681325,False,True,False
L14m,14.0,理论基准孔径（非装备需求）,300.0,0.0,5.0,15.0,0.030268871802677233,0.9848760994497044,False,0.0069615785824435365,165.1862029280443,False,True,False
L14m,14.0,理论基准孔径（非装备需求）,300.0,0.0,5.0,20.0,0.05650207730583712,0.9478825035760428,False,0.0069615785824435365,88.49232167050715,True,True,False
L14m,14.0,理论基准孔径（非装备需求）,300.0,0.0,10.0,15.0,0.018881926723139708,0.9940987000056303,False,0.0069615785824435365,264.8034850104849,False,True,False
L14m,14.0,理论基准孔径（非装备需求）,300.0,0.0,10.0,20.0,0.04511513222629959,0.9665844905164508,True,0.0069615785824435365,110.82755947427503,False,True,False
L14m,14.0,理论基准孔径（非装备需求）,300.0,30.0,-20.0,2.0,0.051700163158302725,0.9562540059213,False,0.0069615785824435365,96.71149363088675,False,True,False
L14m,14.0,理论基准孔径（非装备需求）,300.0,30.0,-20.0,5.0,0.048932234313447176,0.9607595437217131,False,0.0069615785824435365,102.18213147536447,False,True,False
L14m,14.0,理论基准孔径（非装备需求）,300.0,30.0,-20.0,10.0,0.039070850603069474,0.9748761626820175,False,0.0069615785824435365,127.9726425922038,False,True,False
L14m,14.0,理论基准孔径（非装备需求）,300.0,30.0,-15.0,2.0,0.028981540769868586,0.9861300267941828,True,0.0069615785824435365,172.52360872401857,False,True,False
L14m,14.0,理论基准孔径（非装备需求）,300.0,30.0,-15.0,5.0,0.026213611925013036,0.9886444139750168,True,0.0069615785824435365,190.7405974538365,False,True,False
L14m,14.0,理论基准孔径（非装备需求）,300.0,30.0,-15.0,10.0,0.016352228214635334,0.9955721035912775,False,0.0069615785824435365,305.7687267063074,False,True,False
L14m,14.0,理论基准孔径（非装备需求）,300.0,30.0,-10.0,2.0,0.012629312555233252,0.9973574016082184,False,0.0069615785824435365,395.90436756814074,False,True,False
L14m,14.0,理论基准孔径（非装备需求）,300.0,30.0,-10.0,5.0,0.009861383710377702,0.9983883189382805,False,0.0069615785824435365,507.0282372988095,False,True,False
L14m,14.0,理论基准孔径（非装备需求）,300.0,30.0,-10.0,10.0,0.0,0.9999999999999998,False,0.0069615785824435365,inf,False,False,True
L14m,14.0,理论基准孔径（非装备需求）,300.0,30.0,-5.0,2.0,0.0027679288448555495,0.9998729710613738,False,0.0069615785824435365,1806.4048175562607,False,False,False
L14m,14.0,理论基准孔径（非装备需求）,300.0,30.0,-5.0,5.0,0.0,1.0000000000000002,False,0.0069615785824435365,inf,False,False,True
L14m,14.0,理论基准孔径（非装备需求）,300.0,30.0,-5.0,10.0,0.009861383710377702,0.9983883189382805,False,0.0069615785824435365,507.0282372988095,False,True,False
L14m,14.0,理论基准孔径（非装备需求）,300.0,30.0,-2.0,2.0,0.0,0.9999999999999998,False,0.0069615785824435365,inf,False,False,True
L14m,14.0,理论基准孔径（非装备需求）,300.0,30.0,-2.0,5.0,0.0027679288448555495,0.9998729710613738,False,0.0069615785824435365,1806.4048175562607,False,False,False
L14m,14.0,理论基准孔径（非装备需求）,300.0,30.0,-2.0,10.0,0.012629312555233252,0.9973574016082184,False,0.0069615785824435365,395.90436756814074,False,True,False
