case,peak_id,k_peak,g_re,g_im,abs_g,prominence
zs50.0_zr18.0,30,1.4600594189340153,2.9122905372524475,1.3625765774908667,3.215283984797746,1.7337638592585567
zs50.0_zr18.0,31,1.4613185743061972,2.1125813648634475,1.3336194386611064,2.498307593220473,1.5083936822475832
zs50.0_zr18.0,32,1.4626564268891404,0.8871021945111307,2.103191939584267,2.2826227542541266,1.4588456643006043
zs50.0_zr18.0,33,1.4639155822613223,0.7713277685091829,2.3044918741744436,2.4301500621585896,1.6215704006250293
zs50.0_zr18.0,34,1.4654895264765497,-4.1599894184451625,-2.265684622121999,4.736965143263757,3.9283854817301966
zs50.0_zr18.0,35,1.473437944763448,-1.5891097409042552,0.4624859952822843,1.6550417107943336,1.374590816922903
zs50.0_zr70.0,0,1.3760894950516342,-4.361163470340437,-5.093943254812886,6.705818719461893,4.914471409556733
zs50.0_zr70.0,1,1.3883662599304079,-0.30835654010770314,-6.532981844192913,6.540255005149374,4.8180187215317565
zs50.0_zr70.0,2,1.4000134471230905,10.74783807306479,-4.697653008869304,11.72961921958935,9.711740048130688
zs50.0_zr70.0,3,1.4198451442349556,-2.060071092534469,5.462431367190548,5.837983328818554,4.887581632993459
zs50.0_zr70.0,4,1.4257474350420583,-2.2398461309144926,4.476519348297146,5.005610468849063,2.988976120792331
zs50.0_zr70.0,5,1.4275574708895697,17.9956574513281,-4.097786214030925,18.45631433849788,16.43967999044115
zs50.0_zr70.0,6,1.4354271919657067,-0.806954061113534,3.7692071458781884,3.8546202621382593,3.4291334017258537
zs50.0_zr70.0,7,1.441014693929764,1.9277576639658878,-4.610966623924043,4.997725764577395,3.242255737128919
zs50.0_zr70.0,8,1.4428247297772754,-23.44352910551005,2.269776927874281,23.553151471155772,21.394611309732774
zs50.0_zr70.0,9,1.4447134628355482,-0.17173512250003525,5.9187863978583986,5.921277343257424,3.7627371818344253
