env,pair_id,mechanism,z_true,J_true_star,J_alt_star,delta_J_env,delta_J_gt_0,delta_J_gt_0p5,static_blind
E1_shift50m,C06,C,220.0,0.5496945053989084,1.4315019093902808,0.8818074039913724,True,True,False
E2_shift150m_plus2,C06,C,180.0,0.27296359721905933,1.4791016070682046,1.2061380098491452,True,True,False
E2_shift150m_plus2,C06,C,200.0,0.27296359721905933,1.4791016070682046,1.2061380098491452,True,True,False
E2_shift150m_plus2,C06,C,220.0,0.27296359721905933,1.4791016070682046,1.2061380098491452,True,True,False
E0_nominal,C07,C,180.0,0.0,1.7505759668063485,1.7505759668063485,True,True,False
E0_nominal,C07,C,200.0,0.0,1.6625532726899803,1.6625532726899803,True,True,False
E0_nominal,C07,C,220.0,0.0,1.6909571954119855,1.6909571954119855,True,True,False
E1_shift50m,C07,C,180.0,1.261863407461844,2.3038154729982043,1.0419520655363603,True,True,False
E1_shift50m,C07,C,200.0,1.261863407461844,2.3038154729982043,1.0419520655363603,True,True,False
E1_shift50m,C07,C,220.0,1.261863407461844,2.3038154729982043,1.0419520655363603,True,True,False
E2_shift150m_plus2,C07,C,180.0,0.5499846672018445,1.6641997876411072,1.1142151204392627,True,True,False
E2_shift150m_plus2,C07,C,200.0,0.5499846672018445,1.6641997876411072,1.1142151204392627,True,True,False
E2_shift150m_plus2,C07,C,220.0,0.5499846672018445,1.6641997876411072,1.1142151204392627,True,True,False
E0_nominal,C08,C,180.0,0.0,3.45444426093153,3.45444426093153,True,True,False
E0_nominal,C08,C,200.0,0.0,1.9177147611447862,1.9177147611447862,True,True,False
E0_nominal,C08,C,220.0,0.0,1.998095436168046,1.998095436168046,True,True,False
E1_shift50m,C08,C,180.0,2.1989655781768387,3.989560191884889,1.7905946137080502,True,True,False
E1_shift50m,C08,C,200.0,2.1989655781768387,3.989560191884889,1.7905946137080502,True,True,False
E1_shift50m,C08,C,220.0,2.1989655781768387,3.989560191884889,1.7905946137080502,True,True,False
E2_shift150m_plus2,C08,C,180.0,1.099979954854701,2.21913798309598,1.1191580282412792,True,True,False
E2_shift150m_plus2,C08,C,200.0,1.099979954854701,2.21913798309598,1.1191580282412792,True,True,False
E2_shift150m_plus2,C08,C,220.0,1.099979954854701,2.21913798309598,1.1191580282412792,True,True,False
E0_nominal,C09,C,180.0,0.0,1.6996091794179937,1.6996091794179937,True,True,False
E0_nominal,C09,C,200.0,0.0,1.6319109201742508,1.6319109201742508,True,True,False
E0_nominal,C09,C,220.0,0.0,1.6781705631919204,1.6781705631919204,True,True,False
E1_shift50m,C09,C,180.0,1.0517062733892133,2.0968041597179012,1.045097886328688,True,True,False
E1_shift50m,C09,C,200.0,1.0517062733892133,2.0968041597179012,1.045097886328688,True,True,False
E1_shift50m,C09,C,220.0,1.0517062733892133,2.0968041597179012,1.045097886328688,True,True,False
E2_shift150m_plus2,C09,C,180.0,0.41596272830828773,1.6611133361090242,1.2451506078007366,True,True,False
E2_shift150m_plus2,C09,C,200.0,0.41596272830828773,1.6611133361090242,1.2451506078007366,True,True,False
E2_shift150m_plus2,C09,C,220.0,0.41596272830828773,1.6611133361090242,1.2451506078007366,True,True,False
E0_nominal,C10,C,180.0,0.0,3.130491866689558,3.130491866689558,True,True,False
E0_nominal,C10,C,200.0,0.0,3.1960171948711644,3.1960171948711644,True,True,False
E0_nominal,C10,C,220.0,0.0,3.147854756474318,3.147854756474318,True,True,False
E1_shift50m,C10,C,180.0,0.20378871328045658,3.228584733018065,3.0247960197376083,True,True,False
E1_shift50m,C10,C,200.0,0.20378871328045658,3.228584733018065,3.0247960197376083,True,True,False
E1_shift50m,C10,C,220.0,0.20378871328045658,3.228584733018065,3.0247960197376083,True,True,False
E2_shift150m_plus2,C10,C,180.0,0.10587830226468511,3.1620404878233592,3.0561621855586742,True,True,False
E2_shift150m_plus2,C10,C,200.0,0.10587830226468511,3.1620404878233592,3.0561621855586742,True,True,False
E2_shift150m_plus2,C10,C,220.0,0.10587830226468511,3.1620404878233592,3.0561621855586742,True,True,False
